"","state","latitude","longitude","state_code"
"1","Alabama",32.806671,-86.79113,"AL"
"2","Alaska",61.370716,-152.404419,"AK"
"3","Arizona",33.729759,-111.431221,"AZ"
"4","Arkansas",34.969704,-92.373123,"AR"
"5","California",36.116203,-119.681564,"CA"
"6","Colorado",39.059811,-105.311104,"CO"
"7","Connecticut",41.597782,-72.755371,"CT"
"8","Delaware",39.318523,-75.507141,"DE"
"9","District of Columbia",38.897438,-77.026817,"DC"
"10","Florida",27.766279,-81.686783,"FL"
"11","Georgia",33.040619,-83.643074,"GA"
"12","Hawaii",21.094318,-157.498337,"HI"
"13","Idaho",44.240459,-114.478828,"ID"
"14","Illinois",40.349457,-88.986137,"IL"
"15","Indiana",39.849426,-86.258278,"IN"
"16","Iowa",42.011539,-93.210526,"IA"
"17","Kansas",38.5266,-96.726486,"KS"
"18","Kentucky",37.66814,-84.670067,"KY"
"19","Louisiana",31.169546,-91.867805,"LA"
"20","Maine",44.693947,-69.381927,"ME"
"21","Maryland",39.063946,-76.802101,"MD"
"22","Massachusetts",42.230171,-71.530106,"MA"
"23","Michigan",43.326618,-84.536095,"MI"
"24","Minnesota",45.694454,-93.900192,"MN"
"25","Mississippi",32.741646,-89.678696,"MS"
"26","Missouri",38.456085,-92.288368,"MO"
"27","Montana",46.921925,-110.454353,"MT"
"28","Nebraska",41.12537,-98.268082,"NE"
"29","Nevada",38.313515,-117.055374,"NV"
"30","New Hampshire",43.452492,-71.563896,"NH"
"31","New Jersey",40.298904,-74.521011,"NJ"
"32","New Mexico",34.840515,-106.248482,"NM"
"33","New York",42.165726,-74.948051,"NY"
"34","North Carolina",35.630066,-79.806419,"NC"
"35","North Dakota",47.528912,-99.784012,"ND"
"36","Ohio",40.388783,-82.764915,"OH"
"37","Oklahoma",35.565342,-96.928917,"OK"
"38","Oregon",44.572021,-122.070938,"OR"
"39","Pennsylvania",40.590752,-77.209755,"PA"
"40","Rhode Island",41.680893,-71.51178,"RI"
"41","South Carolina",33.856892,-80.945007,"SC"
"42","South Dakota",44.299782,-99.438828,"SD"
"43","Tennessee",35.747845,-86.692345,"TN"
"44","Texas",31.054487,-97.563461,"TX"
"45","Utah",40.150032,-111.862434,"UT"
"46","Vermont",44.045876,-72.710686,"VT"
"47","Virginia",37.769337,-78.169968,"VA"
"48","Washington",47.400902,-121.490494,"WA"
"49","West Virginia",38.491226,-80.954453,"WV"
"50","Wisconsin",44.268543,-89.616508,"WI"
"51","Wyoming",42.755966,-107.30249,"WY"
